x,Hospital,Clinic,Fitness
2017-1,0.0,0.3333333333333333,0.2857142857142857
2017-2,1.0,0.0,0.6666666666666666
2017-3,0.0,0.0,0.3333333333333333
2017-4,1.0,0.0,0.5555555555555556
2017-5,0.0,0.0,0.16666666666666666
2017-6,0.3333333333333333,0.0,0.16666666666666666
2017-7,0.0,0.0,0.3333333333333333
2018-1,0.0,0.0,0.20689655172413793
2018-2,0.16666666666666666,0.6,0.2727272727272727
2018-3,0.0625,0.14285714285714285,0.18867924528301888
2018-4,0.2857142857142857,0.0,0.1875
2018-5,0.14285714285714285,0.2,0.56
2018-6,0.4166666666666667,0.7142857142857143,0.3125
2018-7,0.3,0.0,0.5
2019-1,0.0,0.0,0.6363636363636364
2019-2,0.0,0.0,0.3181818181818182
2019-3,0.2857142857142857,0.5,0.5
2019-4,0.42857142857142855,0.5,0.3684210526315789
2019-5,0.0,0.0,0.5384615384615384
2019-6,0.6,1.0,0.6666666666666666
2019-7,0.46153846153846156,0.0,0.3076923076923077
2020-1,0.06666666666666667,0.0,0.5789473684210527
2020-2,0.2222222222222222,0.5,0.32
2020-3,0.6,0.5,0.71875
2020-4,0.0,0.0,0.0
2020-5,0.6666666666666666,0.0,0.0
2020-6,1.0,1.0,0.2
2020-7,0.5,1.0,0.0
2021-1,0.3333333333333333,0.0,0.2
2021-2,0.8,1.0,0.375
2021-3,0.75,0.0,0.18518518518518517
2021-4,0.0,0.0,0.36363636363636365
2021-5,0.0,0.0,0.1111111111111111
2021-6,1.0,0.6,0.0
2021-7,0.2222222222222222,0.0,0.25
