x,Academic,Private Enterprise,Hotel
2017-1Q,0.0,392156.86,424528.3
2017-2Q,0.0,613820.75,0.0
2017-3Q,0.0,0.0,0.0
2017-4Q,1484214.2,0.0,0.0
2018-1Q,419510.0,802670.0,0.0
2018-2Q,0.0,2680939.29,0.0
2018-3Q,313044.7499999997,825897.8,0.0
2018-4Q,1824594.45,790585.57,472407.0
2019-1Q,0.0,401785.0,0.0
2019-2Q,0.0,3297323.0,42203.0
2019-3Q,0.0,18304.0,0.0
2019-4Q,0.0,6400.0,0.0
2020-1Q,0.0,205982.1429,0.0
2020-2Q,0.0,16428.57143,0.0
2020-3Q,0.0,98214.28571,0.0
2020-4Q,0.0,379455.357157,35678.57142
2021-1Q,468214.0,1069555.0,0.0
2021-2Q,16607.0,151820.0,0.0
2021-3Q,0.0,0.0,0.0
