x,Hospital,Clinic,Fitness
2017-1Q,1303338.77,1388095.24,6082186.879999999
2017-2Q,1639622.64,0.0,4917924.499999999
2017-3Q,828750.0,468728.57,8451133.3
2017-4Q,3813353.71,232142.86,6143138.38
2018-1Q,397032.47,463392.86,7294446.630000001
2018-2Q,2429650.4299999997,2263254.44,12714189.68
2018-3Q,3682284.0399999996,1817383.02,5225079.26
2018-4Q,1552702.7299999997,0.0,9756777.01
2019-1Q,1448113.0,0.0,9563270.0
2019-2Q,2554569.0,0.0,9605121.0
2019-3Q,2445514.0,21411.0,13414079.0
2019-4Q,1734700.0,1236607.0,12842643.0
2020-1Q,33020.58111,20535.71429,7408184.063231781
2020-2Q,0.0,0.0,515515.67273379996
2020-3Q,1334252.14285769,392857.14288617,1128257.714283
2020-4Q,2490194.64286,9322.033898,3703364.7127679
2021-1Q,2220287.0,1160.0,5992232.0
2021-2Q,1953857.0,161900.0,738495.0
2021-3Q,119643.0,0.0,385881.0
