x,Academic,Private Enterprise,Hotel
2017-1,0.0,392156.86,424528.3
2017-2,0.0,613820.75,0.0
2017-3,0.0,0.0,0.0
2017-4,742107.1,0.0,0.0
2018-1,419510.0,401335.0,0.0
2018-2,0.0,446823.215,0.0
2018-3,5131.881147540984,412948.9,0.0
2018-4,364918.89,158117.114,472407.0
2019-1,0.0,200892.5,0.0
2019-2,0.0,366369.22222222225,42203.0
2019-3,0.0,18304.0,0.0
2019-4,0.0,6400.0,0.0
2020-1,0.0,68660.7143,0.0
2020-2,0.0,16428.57143,0.0
2020-3,0.0,49107.142855,0.0
2020-4,0.0,63242.55952616667,17839.28571
2021-1,93642.8,82273.46153846153,0.0
2021-2,16607.0,50606.666666666664,0.0
2021-3,0.0,0.0,0.0
